                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 2.1914,                 1.1548,                  1.367,                 0.6896,                0.38264,                0.47526,                 0.1892,                 2.2393,                 1.1504,                 1.3886,              0.0008912,              0.0008912,              0.0008912
                     58,                 2.1618,                 1.1382,                 1.3656,                0.69616,                0.38241,                0.47532,                0.18894,                 2.2462,                 1.1475,                 1.3899,              0.0008714,              0.0008714,              0.0008714
                     59,                 2.1827,                 1.1722,                 1.3498,                 0.6898,                  0.383,                0.47588,                0.18989,                 2.2442,                 1.1495,                 1.3906,              0.0008516,              0.0008516,              0.0008516
                     60,                  2.146,                 1.1254,                 1.3458,                0.68974,                0.37781,                0.47025,                0.18698,                 2.2451,                 1.1446,                 1.3913,              0.0008318,              0.0008318,              0.0008318
                     61,                 2.1377,                 1.1167,                 1.3486,                0.69582,                0.38017,                0.47441,                0.19172,                 2.2235,                 1.1374,                 1.3819,               0.000812,               0.000812,               0.000812
                     62,                 2.1316,                 1.1201,                 1.3436,                0.70182,                0.38115,                0.47596,                0.19178,                  2.229,                  1.119,                 1.3849,              0.0007922,              0.0007922,              0.0007922
                     63,                 2.1402,                 1.1233,                 1.3596,                0.69988,                0.38529,                0.48011,                0.19367,                 2.2163,                 1.1235,                 1.3783,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.1229,                 1.0997,                 1.3459,                0.70768,                0.38013,                0.47723,                0.19314,                 2.2186,                  1.121,                 1.3829,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.1227,                 1.1105,                 1.3429,                0.71156,                0.38572,                0.48139,                0.19589,                 2.2117,                 1.1011,                 1.3774,              0.0007328,              0.0007328,              0.0007328
                     66,                 2.1056,                 1.0947,                 1.3344,                0.69933,                0.38522,                0.47969,                0.19471,                 2.2086,                 1.0947,                 1.3749,               0.000713,               0.000713,               0.000713
                     67,                 2.1082,                 1.0848,                 1.3255,                0.69944,                0.38919,                0.48317,                0.19697,                 2.2009,                 1.0965,                 1.3743,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.0995,                 1.0835,                 1.3257,                0.70544,                0.39078,                0.48431,                 0.1972,                 2.1997,                 1.0903,                  1.374,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.0852,                 1.0818,                 1.3211,                0.69913,                0.38643,                0.47976,                0.19599,                 2.2005,                 1.0885,                 1.3755,              0.0006536,              0.0006536,              0.0006536
                     70,                 2.0997,                 1.0824,                 1.3124,                0.69746,                 0.3859,                0.47892,                0.19588,                 2.2031,                 1.0903,                 1.3728,              0.0006338,              0.0006338,              0.0006338
                     71,                 2.0812,                 1.0761,                  1.319,                0.70277,                0.39078,                0.48462,                0.19925,                 2.1846,                  1.084,                 1.3703,               0.000614,               0.000614,               0.000614
                     72,                 2.0774,                 1.0706,                 1.3115,                0.69829,                0.38861,                0.48257,                0.19791,                 2.1901,                 1.0876,                 1.3685,              0.0005942,              0.0005942,              0.0005942
                     73,                   2.07,                 1.0584,                 1.3082,                0.69802,                0.38134,                0.47942,                0.19837,                 2.1836,                 1.1005,                 1.3632,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.0623,                  1.058,                 1.3112,                0.69535,                0.38681,                0.48173,                0.19819,                 2.1894,                 1.0835,                 1.3686,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.0532,                  1.048,                 1.3038,                0.70905,                0.38911,                0.48607,                0.20078,                  2.178,                 1.0771,                  1.361,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.0562,                 1.0571,                  1.308,                0.69783,                 0.3886,                0.48271,                0.19814,                 2.1853,                 1.0802,                 1.3641,               0.000515,               0.000515,               0.000515
